Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
Panvel,781.17,1,2.0,7,36.0,8.2,no,Yes,8288742
Panvel,1206.76,2,1.0,15,5.0,1.8,Yes,YES,11736338
CBD Belapur,866.39,1,3.0,31,39.0,11.2,No,Yes,11461874
Belapur,898.44,2,4.0,5,30.0,10.0,no,YES,15151238
nerul,1447.29,2,3.0,8,39.0,12.2,no,NO,26774092
 panvel,1123.91,4,4.0,19,30.0,10.9,yes,NO,22734889
nerul,1283.69,3,3.0,8,16.0,9.6,Yes,YES,21057553
Ghansoli,373.41,4,,27,9.0,6.7,No,NO,5265649
Vashi,572.78,2BHK,1.0,20,4.0,16.4,Yes,,9205142
Airoli,1539.62,4,4.0,30,14.0,5.9,,No,26567934
KHARGHAR ,890.89,2BHK,,33,16.0,5.3,No,Yes,15336455
,621.54,3,4.0,16,34.0,11.2,No,YES,6796636
Ghansoli,935.67,2BHK,2.0,19,26.0,17.4,yes,NO,12623654
KHARGHAR ,1325.99,,,14,13.0,5.7,yes,Yes,16492796
Belapur,1142.0,1,,,19.0,16.5,Yes,,15613453
Vashi,1163.79,2,3.0,30,18.0,7.2,,Yes,12224124
Ghansoli,1058.39,,3.0,1,34.0,9.8,yes,,14173572
 panvel,1031.81,2BHK,1.0,5,19.0,5.0,yes,NO,10638015
Vashi,906.74,,2.0,25,24.0,14.7,,YES,14844229
,1369.39,2BHK,4.0,29,35.0,2.1,,NO,13662640
CBD Belapur,-212.8,,1.0,10,2.0,5.8,,YES,-2219023
Airoli,182.13,,4.0,20,8.0,7.9,,,2814011
KHARGHAR ,1222.54,2,4.0,27,7.0,1.1,No,,19693348
,780.07,2BHK,1.0,4,7.0,11.0,yes,No,10187834
KHARGHAR ,252.17,4,4.0,15,34.0,2.5,No,NO,4765899
Airoli,1416.32,1,3.0,5,10.0,6.8,Yes,YES,25634365
Vashi,1405.95,,2.0,20,33.0,15.9,Yes,Yes,18405870
KHARGHAR ,1589.46,,3.0,16,24.0,11.4,yes,,15818773
Ghansoli,176.68,3,4.0,18,,14.4,Yes,No,3153927
nerul,1154.57,,3.0,8,12.0,9.9,,,18397192
Panvel,1616.89,2BHK,3.0,1,9.0,17.1,Yes,,23624001
Airoli,549.35,2BHK,,25,21.0,6.3,Yes,YES,8244627
Airoli,668.21,1,,8,34.0,3.6,yes,NO,10295079
Vashi,1355.47,4,4.0,20,34.0,1.4,Yes,Yes,19070710
Ghansoli,603.14,,2.0,15,11.0,11.7,No,NO,₹5885009
Panvel,1296.08,1,,,12.0,9.0,no,Yes,21785064
Airoli,323.46,2BHK,,31,34.0,0.1,no,NO,4305282
Nerul,826.98,3,1.0,13,1.0,10.7,yes,YES,13655278
,804.43,,1.0,6,28.0,6.3,Yes,No,9062825
Belapur,1245.86,,4.0,28,32.0,3.5,no,No,12193175
Vashi,1920.59,2BHK,2.0,11,4.0,4.6,no,YES,34287452
Vashi,944.12,3,,6,33.0,9.6,Yes,Yes,14188597
,1023.92,4,4.0,21,39.0,15.5,no,YES,16005707
Panvel,1362.37,3,3.0,28,2.0,6.3,yes,,18267211
Vashi,71.94,2BHK,1.0,32,26.0,16.8,no,Yes,741093
Panvel,1193.49,3,1.0,8,21.0,4.7,No,,15118988
,424.33,2,4.0,1,,12.8,Yes,,4764755
Nerul,562.32,1,3.0,20,9.0,11.3,no,,7803921
 panvel,1367.0,2,1.0,2,22.0,6.7,Yes,,19265645
KHARGHAR ,1567.12,3,4.0,26,7.0,6.0,yes,No,21212751
Ghansoli,823.96,4,3.0,11,10.0,13.6,Yes,No,12669980
Airoli,814.19,,2.0,19,32.0,13.8,No,YES,8680166
Ghansoli,118.15,2BHK,4.0,30,30.0,12.1,yes,No,1377617
Kharghar,1527.51,2BHK,4.0,11,35.0,7.5,Yes,,₹27057843
 panvel,1541.63,4,,4,15.0,11.7,no,NO,25078759 INR
nerul,1624.64,2,1.0,16,22.0,6.0,No,Yes,22972974
 panvel,845.99,2,2.0,16,22.0,2.7,yes,Yes,9819163
nerul,932.1,3,3.0,13,2.0,1.8,yes,,12545862
CBD Belapur,505.07,2,4.0,28,1.0,1.0,,NO,6497586
Nerul,1168.69,3,,4,37.0,4.6,No,YES,16099314
Vashi,1590.43,2BHK,2.0,22,26.0,13.4,No,YES,18051734
Ulwe,1019.58,,,9,9.0,4.3,No,,14783670
CBD Belapur,1102.77,4,1.0,13,14.0,10.6,yes,Yes,18729855
 panvel,5770.31,4,2.0,6,17.0,15.6,,NO,64367077
 panvel,821.3,1,4.0,31,10.0,7.8,No,Yes,₹11071022
,1418.03,2,2.0,23,13.0,6.4,,,22495657
,1035.93,2BHK,3.0,,19.0,4.6,,YES,14055185
CBD Belapur,689.71,4,4.0,28,32.0,14.4,No,Yes,8686511
Belapur,569.07,,1.0,8,36.0,3.9,yes,NO,9334759
nerul,863.15,2,4.0,27,29.0,11.2,no,,13071995
Airoli,426.14,2BHK,2.0,9,31.0,3.5,No,Yes,8089450
nerul,1139.39,3,3.0,13,12.0,6.4,no,Yes,15896538
Kharghar,667.31,3,4.0,30,11.0,13.4,,,13622946
Ulwe,508.53,1,3.0,3,21.0,6.0,no,,9052660
Panvel,616.65,,4.0,13,29.0,5.8,no,,₹7723969
,922.71,,3.0,4,28.0,7.1,,Yes,11930283
nerul,202.07,,,14,23.0,1.0,yes,YES,1987967
Airoli,1494.64,,4.0,6,38.0,8.3,,YES,23901945 INR
nerul,383.43,,1.0,27,35.0,11.9,Yes,Yes,5444153 INR
Panvel,985.76,2BHK,4.0,22,1.0,5.3,yes,,11652792
CBD Belapur,747.8,1,3.0,1,24.0,9.3,,NO,9290794
Ghansoli,1434.85,3,3.0,15,,0.6,Yes,NO,25209664
Belapur,1072.1,2BHK,4.0,27,4.0,11.5,no,YES,₹11258185
Ghansoli,1536.14,4,,10,11.0,8.3,yes,Yes,27471264
Panvel,1290.63,2BHK,,7,19.0,15.7,Yes,No,22002462
KHARGHAR ,346.72,2,1.0,Ground,26.0,1.1,yes,NO,3151897
Ulwe,751.8,2,1.0,6,9.0,12.1,yes,NO,13021475
,799.06,1,3.0,29,11.0,12.3,,No,14239329
Vashi,872.27,2,3.0,26,24.0,2.7,Yes,No,11750934
CBD Belapur,1012.82,3,3.0,,9.0,14.5,,Yes,15820501
Panvel,1264.56,,,18,39.0,4.6,no,,16315249
CBD Belapur,1042.84,3,,28,16.0,11.0,No,,10827840
Nerul,306.19,,1.0,,7.0,3.8,Yes,No,4023705
Airoli,336.28,2,1.0,21,29.0,13.5,Yes,YES,4129277
Ulwe,501.93,,3.0,21,26.0,12.9,,NO,6177770
CBD Belapur,847.49,1,,29,39.0,6.6,No,Yes,14811106
 panvel,538.25,4,,11,30.0,0.1,,NO,10033634
CBD Belapur,299.47,,2.0,29,6.0,6.9,yes,YES,4691502
KHARGHAR ,358.49,4,2.0,28,8.0,18.0,Yes,No,4672180
Vashi,706.56,4,3.0,,9.0,4.8,No,Yes,10383574
Kharghar,206.2,,4.0,24,15.0,1.8,,,3021560
Nerul,841.89,2,1.0,4,23.0,9.3,Yes,YES,11685517
 panvel,1632.01,4,1.0,,35.0,6.2,yes,YES,28029682
Nerul,-296.66,4,2.0,9,30.0,8.3,no,No,-3779417
Nerul,1676.7,1,4.0,32,13.0,0.4,Yes,Yes,31773486
nerul,831.49,2,4.0,22,3.0,1.6,No,NO,11090266
 panvel,1246.43,,,10,14.0,2.7,no,Yes,15339397
,1491.12,3,3.0,13,2.0,5.2,No,NO,30183791
Ghansoli,1418.72,3,1.0,15,11.0,17.0,,NO,18420918
Kharghar,1002.79,1,1.0,9,24.0,2.9,yes,YES,10342482
 panvel,789.05,,2.0,31,36.0,12.6,no,NO,8398839
Vashi,428.21,4,1.0,6,16.0,12.0,,No,4424910
Belapur,1118.67,2,,12,17.0,5.4,Yes,Yes,21536826
Vashi,549.11,3,2.0,1,4.0,3.5,yes,NO,8401547
Kharghar,750.15,1,,34,5.0,7.6,No,,9911988
nerul,1154.53,3,,25,5.0,16.0,Yes,Yes,14143627
Airoli,1006.37,1,2.0,6,39.0,8.9,,,9733351
CBD Belapur,906.05,1,3.0,27,33.0,6.9,No,Yes,15007645
Airoli,1200.64,,1.0,20,33.0,4.0,,,12782604
KHARGHAR ,3761.6,,3.0,8,38.0,0.9,,Yes,42275559
Vashi,1119.63,2,1.0,17,8.0,8.2,,Yes,14491788
Belapur,1561.5,,,5,32.0,7.5,,YES,18390886
CBD Belapur,161.41,2,1.0,16,28.0,11.7,no,Yes,3139578
,502.49,2BHK,1.0,30,,18.6,yes,Yes,7210624
Ulwe,941.64,2,4.0,6,1.0,8.7,,YES,12455666
KHARGHAR ,489.59,2,4.0,25,38.0,10.3,Yes,No,7571465
,1291.59,2BHK,4.0,28,29.0,6.4,yes,,22361575
Nerul,628.27,1,4.0,1,12.0,13.4,no,,11542185
Ghansoli,317.7,,2.0,28,24.0,7.6,,,4234835
Ulwe,800.33,,4.0,30,18.0,7.1,,NO,12211025
Ghansoli,1596.15,1,4.0,7,35.0,6.1,Yes,,24146058
Ulwe,1092.49,1,2.0,17,6.0,0.5,,,₹18636619
Ghansoli,1146.8,2,,5,13.0,1.6,Yes,NO,14531583
Kharghar,1668.54,,,23,32.0,12.2,,NO,15209924
nerul,730.64,4,1.0,31,28.0,7.6,no,NO,14908526
Ulwe,1127.41,4,3.0,8,7.0,2.2,yes,NO,15368589
Panvel,1281.23,4,3.0,0,11.0,6.4,no,Yes,16900871
,797.44,1,,8,21.0,10.3,,NO,14704406
CBD Belapur,1459.77,2,3.0,2,22.0,7.0,yes,NO,23467717
Nerul,679.44,2BHK,2.0,15,13.0,18.8,,,6970778
Nerul,167.98,2,,33,8.0,5.8,No,No,2882719
Airoli,6091.48,2BHK,1.0,32,13.0,6.2,No,Yes,109603554
Airoli,495.81,,4.0,9,20.0,10.9,,YES,7098612
nerul,833.3,1,1.0,11,33.0,7.6,,NO,10649173
Nerul,931.61,2,,27,25.0,1.1,No,No,9750071
Panvel,1055.01,,3.0,15,18.0,2.2,Yes,Yes,13327818
,802.27,2BHK,4.0,20,25.0,1.5,Yes,NO,13071213
Kharghar,682.08,3,,6,15.0,2.7,yes,No,11206167
CBD Belapur,1117.88,2,4.0,6,22.0,9.7,No,,17837051
Ghansoli,841.85,4,,22,21.0,0.3,No,Yes,9638746
KHARGHAR ,690.29,3,4.0,22,13.0,13.7,No,NO,₹10840190
KHARGHAR ,607.96,3,2.0,,25.0,0.8,No,YES,9067584
nerul,612.46,2BHK,3.0,8,20.0,13.3,,,8556045 INR
Airoli,1517.41,2BHK,,9,4.0,6.9,No,,25306497
Panvel,1019.93,4,3.0,19,15.0,0.7,No,Yes,18041045
Airoli,1097.86,2BHK,4.0,28,6.0,7.4,no,,13913702
nerul,932.59,,2.0,18,36.0,5.5,no,NO,10368699
Ulwe,4758.46,1,2.0,1,35.0,11.7,Yes,,81661862
Kharghar,1082.78,1,1.0,16,32.0,12.8,no,No,12708383
 panvel,816.37,1,,8,25.0,11.4,,No,14742160
